source,source_entry,date_day,date_month,date_year,actor_id,actor_first_name,actor_surname,wikidata_name,place_of_birth,position_held,occupation,sex_or_gender,country_of_citizenship,wikidata_uri,role,role_en,role_en_reconciled,status,status_en,phase
BRGA818,1644,,,1644,2854,Philips,Van der Elst,"Philips, Van der Elst",,,,,,,member,member,member,dean,dean,start
BRGA818,1644,,,1644,6161,Jan,Noveliers,"Jan, Noveliers",,,,,,,member,member,member,dean,dean,start
BRGA818,1644,,,1644,6954,Jan,Van Rillaert,"Jan, Van Rillaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1645,,,1645,2854,Philips,Van der Elst,"Philips, Van der Elst",,,,,,,member,member,member,dean,dean,start
BRGA818,1645,,,1645,6161,Jan,Noveliers,"Jan, Noveliers",,,,,,,member,member,member,dean,dean,start
BRGA818,1645,,,1645,6954,Jan,Van Rillaert,"Jan, Van Rillaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1646,,,1646,490,Antoon,Sallaert,Antoon Sallaert,City of Brussels,,painter,male,Habsburg Netherlands,https://www.wikidata.org/wiki/Q2339877,member,member,painter,dean,dean,start
,,,,,,,,,,,tapestry designer,,,,,,member,,,
,,,,,,,,,,,drawer,,,,,,member,,,
,,,,,,,,,,,engraver,,,,,,member,,,
BRGA818,1646,,,1646,2827,Jacques,Nyts,"Jacques, Nyts",,,,,,,member,member,member,dean,dean,start
BRGA818,1646,,,1646,2826,Antoon,Van den Bossche,"Antoon, Van den Bossche",,,,,,,member,member,member,dean,dean,start
BRGA818,1647,,,1647,490,Antoon,Sallaert,Antoon Sallaert,City of Brussels,,painter,male,Habsburg Netherlands,https://www.wikidata.org/wiki/Q2339877,member,member,painter,dean,dean,start
,,,,,,,,,,,tapestry designer,,,,,,member,,,
,,,,,,,,,,,drawer,,,,,,member,,,
,,,,,,,,,,,engraver,,,,,,member,,,
BRGA818,1647,,,1647,2827,Jacques,Nyts,"Jacques, Nyts",,,,,,,member,member,member,dean,dean,start
BRGA818,1647,,,1647,2826,Antoon,Van den Bossche,"Antoon, Van den Bossche",,,,,,,member,member,member,dean,dean,start
BRGA818,00001648A,,,1648,3087,Albert,Fierens,"Albert, Fierens",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001648A,,,1648,3268,Peter [b],Van Gindertaelen,"Peter [b], Van Gindertaelen",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001648B,,,1648,472,Gillis,Leyniers,"Gillis, Leyniers",,,,,,,member,member,member,dean,dean,start
BRGA818,00001648B,,,1648,512,Daniel,Van Heil,Daniel van Heil,City of Brussels,,painter,male,Habsburg Netherlands,https://www.wikidata.org/wiki/Q392090,member,member,painter,dean,dean,start
BRGA818,00001648B,,,1648,2935,Jacob,Godsvriendt,"Jacob, Godsvriendt",,,,,,,member,member,member,dean,dean,start
BRGA818,1649,,,1649,5777,Jan,Claerbodts,"Jan, Claerbodts",,,,,,,member,member,member,dean,dean,start
BRGA818,1649,,,1649,2932,Jan,Van Velthoven,"Jan, Van Velthoven",,,,,,,member,member,member,dean,dean,start
BRGA818,1649,,,1649,2786,Engel,Van den Bosch,"Engel, Van den Bosch",,,,,,,member,member,member,dean,dean,start
BRGA818,1650,,,1650,6161,Jan,Noveliers,"Jan, Noveliers",,,,,,,member,member,member,dean,dean,start
BRGA818,1650,,,1650,3093,Jan,Schoreels,"Jan, Schoreels",,,,,,,member,member,member,dean,dean,start
BRGA818,1650,,,1650,3177,Michiel,Van Eeverenbroot,"Michiel, Van Eeverenbroot",,,,,,,member,member,member,dean,dean,start
BRGA818,1651,,,1651,6161,Jan,Noveliers,"Jan, Noveliers",,,,,,,member,member,member,dean,dean,start
BRGA818,1651,,,1651,3177,Michiel,Van Eeverenbroot,"Michiel, Van Eeverenbroot",,,,,,,member,member,member,dean,dean,start
